text,author,tags,born_date,born_location,desciption
The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand,,"February 02, 1905","in St. Petersburg, Russian Federation",Alisa Rosenbaum was born in pre-revolutionary St. Petersburg to a prosperous Jewish family. When the
"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",Charles Bukowski,alcohol,"August 16, 1920","in Andernach, Germany","Henry Charles Bukowski (born as Heinrich Karl Bukowski) was a German-born American poet, novelist an"
The reason I talk to myself is because I’m the only one whose answers I accept.,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth","May 12, 1937","in New York, New York, The United States","George Denis Patrick Carlin was a Grammy-winning American stand-up comedian, actor, author, and phil"
"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",J.D. Salinger,"authors,books,literature,reading,writing","January 01, 1919","in Manhattan, New York, The United States","Jerome David Salinger was an American author, best known for his 1951 novel The Catcher in the Rye, "
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,"friendship,love","August 06, 1809","in Somersby, Lincolnshire, The United Kingdom","Alfred Tennyson was born in Somersby, Lincolnshire, the fourth of the twelve children of George Tenn"
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Terry Pratchett,"humor,open-mind,thinking","April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom","Sir Terry Pratchett sold his first story when he was thirteen, which earned him enough money to buy "
"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine L'Engle,"books,children,difficult,grown-ups,write,writers,writing","November 29, 1918","in New York City, New York, The United States","Madeleine L'Engle was an American writer best known for her Young Adult fiction, particularly the Ne"
To die will be an awfully big adventure.,J.M. Barrie,"adventure,love","May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom","Sir James Matthew Barrie, 1st Baronet, OM (9 May 1860 – 19 June 1937) was a Scottish author and dram"
It takes courage to grow up and become who you really are.,E.E. Cummings,courage,"October 14, 1894","in Cambridge, Massachusetts, The United States","Edward Estlin Cummings was born in Cambridge, Massachusetts, on October 14, 1894. He began writing p"
But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,life,"March 04, 1965","in Kabul, Afghanistan","Hosseini was born in Kabul, Afghanistan, in 1965. In 1970 Hosseini and his family moved to Iran wher"
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,better-life-empathy,"April 28, 1926","in Monroeville, Alabama, The United States","Harper Lee, known as Nelle, was born in the Alabama town of Monroeville, the youngest of four childr"
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,"death,life","November 27, 1942","in Seattle, Washington, The United States","Jimi Hendrix was an American guitarist, singer and songwriter. Hendrix is considered one of the grea"
